locationId,locationName,facilityId,facilityName,facilityType,distanceKm
loc_3089,Ezhome,fh_29,Upgradation and modernization of Harbour in Koyilandy,fishing_harbour,79.85
loc_3089,Ezhome,fh_34,Maintenance dredging of existing harbor in Puthiyappa,fishing_harbour,93.39
loc_3094,Maduraivayal,fh_53,Modernization and up-gradation of Chennai Fishing Harbour,fishing_harbour,14.19
loc_3094,Maduraivayal,fh_56,Construction of Fishing harbour at ThiruvottriyurKuppam,fishing_harbour,20.84
loc_3094,Maduraivayal,port_05,Chennai Port,port,13.37
loc_3094,Maduraivayal,port_11,Kamarajar Port,port,26.8
loc_3096,Kōttayam,fh_26,Expansion of Kasaragod Fishing Harbour,fishing_harbour,96.47
loc_3096,Kōttayam,fh_28,Upgradation and modernization of Harbour in Puthiyappa,fishing_harbour,59.95
loc_3096,Kōttayam,fh_29,Upgradation and modernization of Harbour in Koyilandy,fishing_harbour,45.93
loc_3096,Kōttayam,fh_33,Maintenance dredging of existing harbor in Beypore,fishing_harbour,78.26
loc_3096,Kōttayam,fh_34,Maintenance dredging of existing harbor in Puthiyappa,fishing_harbour,59.95
loc_3100,Kadikkād,fh_24,"Modernization and up-gradation of Cochin Fishing Harbour at Thoppumpady, Cochin",fishing_harbour,88.25
loc_3100,Kadikkād,fh_27,Upgradation and modernization of Harbour in Ponnani,fishing_harbour,12.32
loc_3100,Kadikkād,fh_28,Upgradation and modernization of Harbour in Puthiyappa,fishing_harbour,76.81
loc_3100,Kadikkād,fh_29,Upgradation and modernization of Harbour in Koyilandy,fishing_harbour,90.85
loc_3100,Kadikkād,fh_31,Maintenance dredging of existing harbor in Chettuva,fishing_harbour,29.21
loc_3100,Kadikkād,fh_32,Maintenance dredging of existing harbor in Ponnani,fishing_harbour,12.32
loc_3100,Kadikkād,fh_33,Maintenance dredging of existing harbor in Beypore,fishing_harbour,58.55
loc_3100,Kadikkād,fh_34,Maintenance dredging of existing harbor in Puthiyappa,fishing_harbour,76.81
loc_3100,Kadikkād,port_02,Cochin Port,port,84.52
loc_3103,Honnavar,fh_19,Modernisation of Gangoli Fishing Harbour,fishing_harbour,74.59
loc_3103,Honnavar,fh_20,Maintenance Dredging at Amadalli Fishing Harbour,fishing_harbour,46.77
loc_3103,Honnavar,fh_21,Dredging work at Tadari Fishing Harbour,fishing_harbour,22.15
loc_3105,Jalladiampet,fh_53,Modernization and up-gradation of Chennai Fishing Harbour,fishing_harbour,21.34
loc_3105,Jalladiampet,fh_56,Construction of Fishing harbour at ThiruvottriyurKuppam,fishing_harbour,30.75
loc_3105,Jalladiampet,port_05,Chennai Port,port,20.48
loc_3105,Jalladiampet,port_11,Kamarajar Port,port,38.32
loc_3108,Kallukuttam,fh_25,Expansion of Muthalapozhy Fishing Harbour,fishing_harbour,72.2
loc_3108,Kallukuttam,fh_54,Maintenance Dredging of Colachel Fishing Harbour,fishing_harbour,4.27
loc_3108,Kallukuttam,fh_61,Expansion and Modernization of Thengapattinam Fishing,fishing_harbour,18.25
loc_3116,Karthikappally,fh_24,"Modernization and up-gradation of Cochin Fishing Harbour at Thoppumpady, Cochin",fishing_harbour,77.38
loc_3116,Karthikappally,fh_25,Expansion of Muthalapozhy Fishing Harbour,fishing_harbour,81.6
loc_3116,Karthikappally,fh_30,Maintenance dredging of existing harbor in Kayamkulam,fishing_harbour,10.23
loc_3116,Karthikappally,fh_35,Development of Arthungal Fishing Harbor (Balance work),fishing_harbour,49.62
loc_3116,Karthikappally,port_02,Cochin Port,port,81.15
loc_3119,Tiruvattār,fh_25,Expansion of Muthalapozhy Fishing Harbour,fishing_harbour,61.4
loc_3119,Tiruvattār,fh_54,Maintenance Dredging of Colachel Fishing Harbour,fishing_harbour,16.86
loc_3119,Tiruvattār,fh_61,Expansion and Modernization of Thengapattinam Fishing,fishing_harbour,14.09
loc_3122,Kadachira,fh_26,Expansion of Kasaragod Fishing Harbour,fishing_harbour,89.02
loc_3122,Kadachira,fh_28,Upgradation and modernization of Harbour in Puthiyappa,fishing_harbour,65.64
loc_3122,Kadachira,fh_29,Upgradation and modernization of Harbour in Koyilandy,fishing_harbour,51.92
loc_3122,Kadachira,fh_33,Maintenance dredging of existing harbor in Beypore,fishing_harbour,83.95
loc_3122,Kadachira,fh_34,Maintenance dredging of existing harbor in Puthiyappa,fishing_harbour,65.64
loc_3126,Kunnimangalam,fh_26,Expansion of Kasaragod Fishing Harbour,fishing_harbour,54.71
loc_3126,Kunnimangalam,fh_28,Upgradation and modernization of Harbour in Puthiyappa,fishing_harbour,99.85
loc_3126,Kunnimangalam,fh_29,Upgradation and modernization of Harbour in Koyilandy,fishing_harbour,86.36
loc_3126,Kunnimangalam,fh_34,Maintenance dredging of existing harbor in Puthiyappa,fishing_harbour,99.85
loc_3133,Sriramnagar,fh_04,Modernization and up-gradation of Vishakapatnam Fishing Harbour,fishing_harbour,70.85
loc_3133,Sriramnagar,port_06,Visakhapatnam Port,port,70.33
loc_3133,Sriramnagar,fh_02,Development of Budugatlapalem Fishing Harbour,fishing_harbour,89.5
loc_3134,Gummidipundi,fh_53,Modernization and up-gradation of Chennai Fishing Harbour,fishing_harbour,40.94
loc_3134,Gummidipundi,fh_56,Construction of Fishing harbour at ThiruvottriyurKuppam,fishing_harbour,35.66
loc_3134,Gummidipundi,port_05,Chennai Port,port,41.1
loc_3134,Gummidipundi,port_11,Kamarajar Port,port,31.2
loc_3136,Martūru,fh_24,"Modernization and up-gradation of Cochin Fishing Harbour at Thoppumpady, Cochin",fishing_harbour,31.87
loc_3136,Martūru,fh_27,Upgradation and modernization of Harbour in Ponnani,fishing_harbour,85.86
loc_3136,Martūru,fh_31,Maintenance dredging of existing harbor in Chettuva,fishing_harbour,48.67
loc_3136,Martūru,fh_32,Maintenance dredging of existing harbor in Ponnani,fishing_harbour,85.86
loc_3136,Martūru,fh_35,Development of Arthungal Fishing Harbor (Balance work),fishing_harbour,54.39
loc_3136,Martūru,port_02,Cochin Port,port,29.33
loc_3143,Mālvan,fh_39,Anandwadi (Fishing Harbour),fishing_harbour,0.76
loc_3143,Mālvan,port_04,Mormugao Port,port,81.04
